Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,how long does it take to learn spanish,learn spanish,,,,,5400,17,3.64,0.10,199,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches","0.66,0.66,0.54,0.66,0.54,0.54,0.54,0.54,0.44,0.66,0.66,0.54",20,,
us,best spanish learning app,learn spanish,,,,,3600,26,4.05,0.78,152,Commercial,"Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.29,0.29,0.29,0.36,0.36,0.44,0.44,0.44,0.44,0.44,0.54,0.36",20,,
us,apps for learning spanish for free,learn spanish,,,,,2400,28,1.71,0.72,136,"Informational, Commercial","Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.66,0.44,0.44,0.00,0.16,0.44,0.44,0.44,0.44,0.44,0.66,0.53",20,,
us,free spanish learning apps,learn spanish,,,,,2400,29,1.71,0.72,146,"Informational, Commercial","Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.54,0.65,0.43,0.54,0.81,1.00,0.65,0.54,0.54,0.65,0.65,0.65",20,,
us,fastest way to learn spanish,learn spanish,,,,,1900,30,3.13,0.73,158,"Informational, Commercial","People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.35,0.35,0.29,0.35,0.35,0.35,0.44,0.18,0.35,0.44,0.44,0.35",20,,
us,how to learn spanish quickly,learn spanish,,,,,1900,28,2.23,0.64,158,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links, Video","0.20,0.66,0.80,0.44,0.52,0.80,1.00,0.36,0.80,0.80,1.00,0.66",20,,
us,is spanish hard to learn,learn spanish,,,,,1600,13,2.13,0.03,964000000,Informational,"Video, Related Searches, AI Overview, Site Links","0.84,0.84,0.68,0.68,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.68",20,,
us,best spanish language learning apps,learn spanish,,,,,1300,25,4.05,0.78,174000000,Commercial,"Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.20,0.16,0.10,0.81,0.05,0.16,0.29,0.36,0.20,0.22,0.29,0.29",20,,
us,how long would it take to learn spanish,learn spanish,,,,,1300,16,3.64,0.10,187,Informational,"Site Links, Video, Related Searches, AI Overview","0.20,0.66,0.16,0.36,0.36,0.52,0.27,0.20,0.16,0.44,0.80,0.44",20,,
us,how long to learn spanish,learn spanish,,,,,1000,13,3.77,0.13,1410000000,Informational,"Site Links, Video, Related Searches, AI Overview","0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.46,0.46,0.52,0.68,0.46",20,,
