Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,best spanish vocabulary app,spanish vocabulary app,,,,,40,19,3.56,0.67,147,Commercial,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview","0.05,0.05,0.03,0.03,0.07,0.04,0.05,0.05,0.07,0.05,0.07,0.01",20,,
us,spanish vocabulary app,spanish vocabulary app,,,,,140,27,2.69,0.68,61600000,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Carousel, Site Links","0.29,0.35,0.22,0.35,0.18,0.18,0.29,0.18,0.14,0.54,0.66,0.22",20,,
us,spanish vocabulary apps,spanish vocabulary app,,,,,30,0,1.72,0.56,,,,"0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.02",,,
us,apps for spanish vocabulary,spanish vocabulary app,,,,,20,0,1.93,0.75,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,apps to learn spanish vocabulary,spanish vocabulary app,,,,,20,0,2.15,0.83,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,spanish vocabulary app free,spanish vocabulary app,,,,,20,0,1.11,0.76,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,spanish vocabulary builder app,spanish vocabulary app,,,,,20,0,1.52,0.43,,,,"0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,,
us,best app for learning spanish vocabulary,spanish vocabulary app,,,,,20,0,4.10,0.80,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,learn spanish vocabulary app,spanish vocabulary app,,,,,20,0,2.49,0.82,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,free spanish vocabulary app,spanish vocabulary app,,,,,20,0,1.08,0.58,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,best app to learn spanish vocabulary,spanish vocabulary app,,,,,20,0,2.58,0.69,,,,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,,
us,best free spanish vocabulary app,spanish vocabulary app,,,,,20,0,1.05,0.41,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,,
us,spanish vocabulary flashcards app,spanish vocabulary app,,,,,20,0,1.54,0.67,,,,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",,,
us,advanced spanish vocabulary app,spanish vocabulary app,,,,,10,0,0.00,0.14,,,,"0.00,0.00,0.66,0.66,0.00,0.66,0.00,0.66,0.66,0.66,0.66,0.66",,,
us,app for spanish vocabulary,spanish vocabulary app,,,,,10,0,1.93,0.66,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66",,,
us,app to learn spanish vocabulary,spanish vocabulary app,,,,,10,0,2.16,0.99,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00",,,
us,best app for spanish vocabulary,spanish vocabulary app,,,,,10,0,2.65,0.58,,,,"0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.55",,,
us,android spanish vocabulary app,spanish vocabulary app,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,app to increase spanish vocabulary,spanish vocabulary app,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,apps for learning spanish vocabulary,spanish vocabulary app,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
us,apps to practice spanish vocabulary,spanish vocabulary app,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
